0.984	1.492e-12
1.088	1.607e-12
1.237	1.793e-12
1.427	1.990e-12
1.657	2.245e-12
1.824	2.417e-12
1.986	2.609e-12
2.110	2.812e-12
2.257	3.100e-12
2.393	3.396e-12
2.697	4.041e-12
4.017	7.165e-12
4.386	8.520e-12
4.754	9.898e-12
5.671	1.367e-11
6.338	1.702e-11
6.940	2.008e-11
7.741	2.610e-11
8.428	3.219e-11
9.549	4.225e-11
10.293	4.989e-11
11.273	6.179e-11
12.215	7.543e-11
13.322	9.249e-11
14.317	1.125e-10
15.432	1.384e-10
16.765	1.721e-10
18.996	2.423e-10
20.462	3.172e-10
22.528	4.363e-10
24.754	5.997e-10
27.352	9.068e-10
31.001	1.596e-9
33.590	2.562e-9
37.491	5.349e-9
38.861	8.579e-9
40.398	1.376e-8
42.327	3.334e-8
